time,temperature,windBearing,windSpeed,ozone,pressure
2018-10-02 10:00:00,13.86,28,5.48,270.7,1019.8
2018-10-02 11:00:00,15.4,289,5.69,270.4,1020.1
2018-10-02 12:00:00,17.28,271,5.89,269.3,1020.1
2018-10-02 13:00:00,19.04,285,6.1,268.1,1019.8
2018-10-02 14:00:00,19.88,294,4.94,263.8,1020.1
2018-10-02 15:00:00,20.57,296,5.15,263.4,1020.2
2018-10-02 16:00:00,20.74,298,5.59,263.7,1020.5
2018-10-02 17:00:00,19.83,300,5.82,264.1,1020.7
2018-10-02 18:00:00,19.48,300,5.72,264.5,1021.0
2018-10-02 19:00:00,18.61,300,5.33,264.9,1021.0
2018-10-02 20:00:00,17.93,292,3.91,268.0,1021.7
2018-10-02 21:00:00,17.31,290,3.84,268.9,1022.1
2018-10-02 22:00:00,16.77,292,4.02,269.7,1022.5
2018-10-02 23:00:00,16.27,293,4.17,270.5,1022.8
2018-10-03 00:00:00,15.84,294,4.23,271.3,1023.6
2018-10-03 01:00:00,15.38,298,4.23,272.0,1023.9
2018-10-03 02:00:00,15.11,292,3.6,264.8,1024.2
2018-10-03 03:00:00,14.74,298,3.58,264.6,1024.5
2018-10-03 04:00:00,14.22,305,3.56,265.0,1024.6
2018-10-03 05:00:00,13.73,309,3.46,265.1,1025.0
2018-10-03 06:00:00,13.02,309,3.11,264.4,1025.5
2018-10-03 07:00:00,12.42,303,2.65,263.5,1026.0
2018-10-03 08:00:00,13.12,289,2.03,260.8,1026.8
2018-10-03 09:00:00,13.29,352,2.0,259.7,1027.1
2018-10-03 10:00:00,13.88,220,2.23,258.6,1027.5
2018-10-03 11:00:00,14.74,272,2.51,257.6,1027.7
2018-10-03 12:00:00,15.82,133,2.71,256.8,1027.9
2018-10-03 13:00:00,16.86,92,3.02,256.1,1027.9
2018-10-03 14:00:00,17.1,271,2.91,250.7,1028.6
2018-10-03 15:00:00,17.91,246,3.12,250.3,1028.4
2018-10-03 16:00:00,18.57,301,3.22,250.6,1027.9
2018-10-03 17:00:00,18.58,281,3.19,251.1,1027.5
2018-10-03 18:00:00,18.51,275,2.88,251.5,1027.3
2018-10-03 19:00:00,17.83,276,2.39,252.0,1027.3
2018-10-03 20:00:00,16.92,263,1.67,250.1,1027.6
2018-10-03 21:00:00,16.08,317,1.7,250.6,1027.7
2018-10-03 22:00:00,15.29,218,1.96,251.6,1027.7
2018-10-03 23:00:00,14.64,251,2.19,252.6,1027.7
2018-10-04 00:00:00,14.18,256,2.3,253.8,1027.7
2018-10-04 01:00:00,13.8,252,2.32,255.1,1027.4
2018-10-04 02:00:00,13.55,259,1.9,252.9,1027.5
2018-10-04 03:00:00,13.0,259,1.83,253.9,1027.2
2018-10-04 04:00:00,12.41,259,1.79,255.4,1026.8
2018-10-04 05:00:00,11.8,258,1.76,256.9,1026.5
2018-10-04 06:00:00,11.32,252,1.7,258.3,1026.3
2018-10-04 07:00:00,10.95,247,1.65,259.7,1026.1
2018-10-04 08:00:00,11.01,230,1.46,260.4,1026.2
2018-10-04 09:00:00,11.08,229,1.67,261.8,1026.1
2018-10-04 10:00:00,11.72,230,2.01,263.2,1026.1
2018-10-04 11:00:00,12.86,229,2.31,264.4,1026.0
2018-10-04 12:00:00,14.95,225,2.59,265.5,1025.7
2018-10-04 13:00:00,17.13,222,2.88,266.5,1025.1
2018-10-04 14:00:00,16.37,211,2.94,264.5,1025.2
2018-10-04 15:00:00,17.75,210,3.29,265.3,1024.5
2018-10-04 16:00:00,18.9,211,3.66,266.2,1023.7
2018-10-04 17:00:00,18.89,212,3.86,267.3,1023.0
2018-10-04 18:00:00,18.69,209,3.78,268.6,1022.4
2018-10-04 19:00:00,17.63,206,3.51,270.1,1021.9
2018-10-04 20:00:00,16.26,203,2.87,268.8,1022.0
2018-10-04 21:00:00,15.39,202,2.75,269.6,1021.8
2018-10-04 22:00:00,14.62,200,2.72,270.4,1021.7
2018-10-04 23:00:00,13.91,197,2.69,271.1,1021.4
2018-10-05 00:00:00,13.42,193,2.57,271.5,1021.1
2018-10-05 01:00:00,13.05,188,2.42,271.7,1020.8
2018-10-05 02:00:00,13.03,170,2.1,270.6,1020.7
2018-10-05 03:00:00,12.5,167,1.91,270.6,1020.1
2018-10-05 04:00:00,11.93,166,1.73,270.6,1019.4
2018-10-05 05:00:00,11.29,166,1.62,270.8,1018.8
2018-10-05 06:00:00,10.66,165,1.61,270.8,1018.2
2018-10-05 07:00:00,10.18,164,1.62,270.9,1017.9
2018-10-05 08:00:00,10.59,122,1.14,269.4,1017.5
2018-10-05 09:00:00,11.32,132,1.21,269.5,1017.2
2018-10-05 10:00:00,12.93,152,1.41,269.8,1016.7
2018-10-05 11:00:00,14.73,167,1.56,270.2,1016.3
2018-10-05 12:00:00,16.92,180,1.75,270.5,1015.9
2018-10-05 13:00:00,18.8,191,1.91,271.0,1015.2
2018-10-05 14:00:00,19.76,178,1.63,268.8,1015.2
2018-10-05 15:00:00,20.82,187,1.87,269.1,1014.7
2018-10-05 16:00:00,21.57,198,2.18,269.8,1014.4
2018-10-05 17:00:00,20.86,206,2.4,270.8,1013.9
2018-10-05 18:00:00,20.28,206,2.32,272.1,1013.5
